,TempC,,,,,Please note that the Water temperature is from the inlet of Quabbin Treatment Plant; William A Brutsch Water Tretament Facility (WABWTF).
1-Jun-20,9.6,,,,,
2-Jun-20,9.3,,,,,
3-Jun-20,9.9,,,,,
4-Jun-20,9.9,,,,,
5-Jun-20,10,,,,,
6-Jun-20,10.1,,,,,
7-Jun-20,10.1,,,,,
8-Jun-20,10.1,,,,,
9-Jun-20,9.9,,,,,
10-Jun-20,10.8,,,,,
11-Jun-20,10.4,,,,,
12-Jun-20,11.5,,,,,
13-Jun-20,11.2,,,,,
14-Jun-20,11.2,,,,,
15-Jun-20,10.8,,,,,
16-Jun-20,11.6,,,,,
17-Jun-20,11,,,,,
18-Jun-20,11.1,,,,,
19-Jun-20,11.3,,,,,
20-Jun-20,11.2,,,,,
21-Jun-20,11.6,,,,,
22-Jun-20,11.3,,,,,
23-Jun-20,11.2,,,,,
24-Jun-20,11.3,,,,,
25-Jun-20,11.8,,,,,
26-Jun-20,11.5,,,,,
27-Jun-20,11.6,,,,,
28-Jun-20,11.7,,,,,
29-Jun-20,11.6,,,,,
30-Jun-20,10.9,,,,,
1-Jul-20,11.5,,,,,
2-Jul-20,11.6,,,,,
3-Jul-20,11.9,,,,,
4-Jul-20,11.5,,,,,
5-Jul-20,11.3,,,,,
6-Jul-20,11.7,,,,,
7-Jul-20,11.2,,,,,
8-Jul-20,11.8,,,,,
9-Jul-20,11.8,,,,,
10-Jul-20,11.9,,,,,
11-Jul-20,11.4,,,,,
12-Jul-20,11.4,,,,,
13-Jul-20,11.2,,,,,
14-Jul-20,11.7,,,,,
15-Jul-20,11.7,,,,,
16-Jul-20,11.3,,,,,
17-Jul-20,11.1,,,,,
18-Jul-20,11.3,,,,,
19-Jul-20,11.3,,,,,
20-Jul-20,11.4,,,,,
21-Jul-20,11.7,,,,,
22-Jul-20,11.4,,,,,
23-Jul-20,11.3,,,,,
24-Jul-20,11.5,,,,,
25-Jul-20,12.9,,,,,
26-Jul-20,11.6,,,,,
27-Jul-20,11.3,,,,,
28-Jul-20,12.5,,,,,
29-Jul-20,11.8,,,,,
30-Jul-20,12.3,,,,,
31-Jul-20,11.5,,,,,
1-Aug-20,12,,,,,
2-Aug-20,11.7,,,,,
3-Aug-20,11.8,,,,,
4-Aug-20,12.3,,,,,
5-Aug-20,13.2,,,,,
6-Aug-20,11.6,,,,,
7-Aug-20,12.7,,,,,
8-Aug-20,12.7,,,,,
9-Aug-20,12,,,,,
10-Aug-20,12.3,,,,,
11-Aug-20,12.8,,,,,
12-Aug-20,12.9,,,,,
13-Aug-20,12.7,,,,,
14-Aug-20,12.8,,,,,
15-Aug-20,13.1,,,,,
16-Aug-20,12.8,,,,,
17-Aug-20,12.9,,,,,
18-Aug-20,13.6,,,,,
19-Aug-20,14.3,,,,,
20-Aug-20,12.9,,,,,
21-Aug-20,12.7,,,,,
22-Aug-20,13.6,,,,,
23-Aug-20,13.3,,,,,
24-Aug-20,14.7,,,,,
25-Aug-20,13.4,,,,,
26-Aug-20,13.7,,,,,
27-Aug-20,12.9,,,,,
28-Aug-20,13.7,,,,,
29-Aug-20,13.5,,,,,
30-Aug-20,13.7,,,,,
13.3,,,,,,
14.2,,,,,,
14,,,,,,
13.5,,,,,,
13.5,,,,,,
13.3,,,,,,
13.8,,,,,,
13.7,,,,,,
14.5,,,,,,
14.1,,,,,,
14.3,,,,,,
14.2,,,,,,
